,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,X_res,Y_res,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,44366,1920,1080,141.21,0,0,1,0,0,0
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,128GB SSD,Intel UHD,Windows 10,1.22,87043,1920,1080,165.63,1,1,0,128,0,0
20,Asus,Netbook,11.6,1366x768,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,0.98,17062,1366,768,135.09,0,0,0,0,0,32
21,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,88821,1920,1080,141.21,1,0,1,128,0,0
22,HP,Notebook,15.6,1366x768,AMD E-Seies,4,500GB HDD,AMD Radeon,No OS,1.86,22939,1366,768,100.45,0,0,500,0,0,0
23,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.62,72817,1920,1080,165.63,0,1,0,256,0,0
24,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.91,58592,1920,1080,141.21,0,0,0,256,0,0
25,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.3,37221,1366,768,100.45,0,0,1,0,0,0
26,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.35,97712,1440,900,127.68,0,0,0,0,0,128
27,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,71128,1920,1080,141.21,0,0,0,256,0,0
28,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,115405,1920,1080,141.21,0,0,0,512,0,0
29,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,79663,1920,1080,127.34,0,0,1,0,0,0
31,Asus,Notebook,14.0,1366x768,AMD E-Seies,2,32GB Flash Storage,AMD Radeon,Windows 10,1.65,17693,1366,768,111.94,0,0,0,0,0,32
32,HP,Notebook,17.3,Full HD 1920x1080,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.71,39031,1920,1080,127.34,0,0,500,0,0,0
33,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.2,166173,3200,1800,276.05,0,1,0,512,0,0
34,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.35,88732,1440,900,127.68,0,0,0,0,0,256
35,Lenovo,Notebook,14.0,1366x768,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.44,22139,1366,768,111.94,0,0,0,0,0,64
36,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,32630,1366,768,100.45,0,0,1,0,0,0
37,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,87043,1920,1080,127.34,1,0,1,128,0,0
38,HP,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.86,43449,1366,768,100.45,0,0,1,0,0,0
39,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.1,78152,1920,1080,141.21,0,0,0,256,0,0
40,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,34586,1920,1080,141.21,0,0,1,0,0,0
41,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,133276,1920,1080,141.21,1,0,1,256,0,0
42,Asus,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,46499,1366,768,100.45,0,0,1,0,0,0
43,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,2.2,60637,1920,1080,141.21,1,0,0,256,0,0
44,Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.77,88821,1920,1080,127.34,0,1,1,0,0,0
45,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,126163,2560,1600,226.98,1,0,0,256,0,0
46,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,32808,1366,768,100.45,0,0,0,128,0,0
47,Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,115494,1920,1080,127.34,0,0,1,256,0,0
48,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.3,56813,1920,1080,141.21,0,0,0,256,0,0
49,Asus,Notebook,17.3,1366x768,Other Intel Processor,4,1TB HDD,Nvidia GeForce,Windows 10,2.8,41432,1366,768,90.58,0,0,1,0,0,0
51,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,74773,1920,1080,141.21,1,0,0,256,0,0
52,HP,Notebook,15.6,Full HD 1920x1080,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,35430,1920,1080,141.21,0,0,0,256,0,0
53,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.49,98068,1920,1080,165.63,0,0,0,512,0,0
54,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.4,34141,1366,768,100.45,0,0,1,0,0,0
55,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.13,68265,1920,1080,141.21,0,0,0,256,0,0
56,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.91,39031,1920,1080,141.21,0,0,0,128,0,0
57,Asus,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,2.0,52118,1366,768,100.45,0,0,0,256,0,0
58,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.43,217741,1920,1080,127.34,0,0,2,256,0,0
59,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,36898,1920,1080,141.21,0,0,0,256,0,0
60,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,115494,1920,1080,127.34,0,0,2,256,0,0
61,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.7,78152,1920,1080,157.35,0,0,0,256,0,0
62,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,53257,1920,1080,157.35,1,0,0,256,0,0
63,Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.4,83664,1920,1080,157.35,0,0,0,256,0,0
64,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.86,61348,1920,1080,141.21,0,0,0,256,0,0
65,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.8,176309,1920,1080,141.21,0,0,0,512,0,0
66,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,AMD Radeon,Windows 10,1.86,39004,1366,768,100.45,0,0,500,0,0,0
67,HP,Notebook,14.0,1366x768,Other Intel Processor,4,32GB SSD,Intel HD,Windows 10,1.44,20360,1366,768,111.94,0,0,0,32,0,0
68,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.9,48812,1920,1080,141.21,0,0,1,0,0,0
69,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,84376,1920,1080,127.34,0,0,1,0,0,0
71,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,84909,1920,1080,165.63,1,0,0,256,0,0
72,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,77352,1920,1080,141.21,0,0,0,256,0,0
73,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,97356,1920,1080,127.34,0,0,1,128,0,0
74,Acer,Notebook,14.0,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.1,34586,1366,768,111.94,0,0,1,0,0,0
75,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,84376,1920,1080,141.21,0,0,1,0,0,0
76,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,46144,1920,1080,141.21,0,0,2,0,0,0
77,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows 10,2.02,76018,1920,1080,141.21,0,0,1,128,0,0
78,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,47122,1920,1080,141.21,0,0,1,0,0,0
79,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,86865,1920,1080,127.34,0,0,1,128,0,0
80,Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.88,97460,1920,1080,141.21,1,0,0,256,0,0
82,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.63,76463,1920,1080,157.35,0,0,0,256,0,0
83,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A-Series,4,128GB SSD,AMD R4,Windows 10,2.2,35475,1920,1080,141.21,0,0,0,128,0,0
84,Acer,Notebook,15.6,1366x768,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.1,35119,1366,768,100.45,0,0,1,0,0,0
85,Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,119940,1920,1080,141.21,1,0,1,128,0,0
86,HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.83,62148,1920,1080,141.21,1,0,0,256,0,0
87,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.96,53256,1920,1080,141.21,0,0,0,256,0,0
88,Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,128831,1920,1080,141.21,1,0,1,128,0,0
89,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,146613,1920,1080,165.63,1,0,0,256,0,0
90,Asus,Gaming,15.6,Full HD 1920x1080,AMD F-Series,8,1TB HDD,AMD Radeon,Windows 10,2.45,62148,1920,1080,141.21,0,0,1,0,0,0
91,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,61259,1920,1080,141.21,0,0,1,0,0,0
92,HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.49,106425,1920,1080,165.63,0,0,0,512,0,0
93,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.65,106247,1920,1080,141.21,0,0,0,256,0,0
94,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.25,93267,1920,1080,157.35,0,0,0,256,0,0
95,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,75307,1920,1080,165.63,1,1,0,256,0,0
96,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,53337,1920,1080,141.21,0,0,1,0,0,0
97,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,43121,1920,1080,141.21,0,0,0,256,0,0
98,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows 10,2.0,51301,1920,1080,141.21,0,0,0,256,0,0
99,HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,111049,1920,1080,141.21,1,0,1,128,0,0
100,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.91,63926,1920,1080,141.21,0,0,0,256,0,0
101,HP,Notebook,15.6,Full HD 1920x1080,AMD E-Seies,4,500GB HDD,AMD Radeon,Windows 10,2.1,31030,1920,1080,141.21,0,0,500,0,0,0
102,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,57525,1920,1080,141.21,0,0,1,0,0,0
103,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.38,99490,1920,1080,165.63,1,0,0,256,0,0
105,HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows 10,1.58,58592,1920,1080,157.35,1,0,0,256,0,0
106,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,36889,1920,1080,141.21,0,0,1,0,0,0
107,Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.3,106070,1920,1080,157.35,1,0,0,256,0,0
108,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,115494,1920,1080,141.21,0,0,1,256,0,0
109,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.58,131587,1920,1080,157.35,1,0,0,256,0,0
110,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.5,112204,1920,1080,141.21,0,0,1,256,0,0
111,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7,8,256GB SSD,Intel Iris,Windows 10,1.23,122607,3200,1800,276.05,0,1,0,256,0,0
112,Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.37,124385,1920,1080,165.63,1,1,0,256,0,0
113,HP,Notebook,14.0,IPS Panel 1366x768,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.63,64193,1366,768,111.94,1,0,500,0,0,0
114,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.21,144834,1920,1080,165.63,1,0,0,256,0,0
115,HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.26,124384,1920,1080,165.63,1,1,0,256,0,0
116,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.63,96378,1920,1080,157.35,0,0,0,512,0,0
117,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.16,100498,1920,1080,141.21,1,0,1,256,0,0
118,Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.0,50145,1920,1080,127.34,0,0,1,0,0,0
119,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,99401,1920,1080,141.21,0,0,0,256,0,0
120,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.1,42588,1920,1080,141.21,1,1,1,0,0,0
121,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,199292,1920,1080,141.21,0,0,2,256,0,0
122,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,55924,1920,1080,141.21,0,0,0,256,0,0
123,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.5,113005,1920,1080,127.34,0,0,0,512,0,0
124,Acer,Notebook,15.6,1366x768,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,2.1,40098,1366,768,100.45,0,0,0,256,0,0
125,HP,Notebook,15.6,1366x768,Other Intel Processor,4,500GB HDD,Intel HD,No OS,1.86,23028,1366,768,100.45,0,0,500,0,0,0
126,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,1.63,72195,1920,1080,157.35,0,0,1,0,0,0
127,Asus,Notebook,14.0,1366x768,AMD E-Seies,4,64GB SSD,AMD Radeon,Windows 10,1.65,24716,1366,768,111.94,0,0,0,64,0,0
128,Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,124118,1920,1080,127.34,0,0,2,256,0,0
129,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.5,82508,1920,1080,127.34,0,0,0,256,0,0
130,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.36,56813,1366,768,100.45,0,0,1,0,0,0
131,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.2,39921,1920,1080,141.21,0,0,1,0,0,0
132,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.6,78596,1920,1080,157.35,1,0,0,256,0,0
133,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,2.2,50857,1920,1080,141.21,0,0,0,256,0,0
134,HP,Notebook,15.6,1366x768,Intel Core i7,8,1TB HDD,Intel HD,Windows 10,2.05,53168,1366,768,100.45,0,0,1,0,0,0
135,HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.63,87843,1920,1080,157.35,0,0,0,256,0,0
136,Lenovo,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,No OS,1.9,22437,1366,768,100.45,0,0,1,0,0,0
137,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,83398,1920,1080,127.34,0,0,1,128,0,0
138,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,44366,1920,1080,141.21,0,0,1,0,0,0
139,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.32,62148,1920,1080,165.63,1,0,0,256,0,0
140,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,3.0,58236,1920,1080,127.34,1,0,1,0,0,0
141,Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.75,99225,1920,1080,157.35,1,0,0,256,0,0
142,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,77263,1920,1080,141.21,1,0,0,256,0,0
143,Toshiba,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,53524,1366,768,100.45,0,0,500,0,0,0
144,HP,Notebook,15.6,1366x768,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,32808,1366,768,100.45,0,0,0,256,0,0
145,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.25,97712,1920,1080,157.35,0,0,0,256,0,0
146,HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Other Intel Processor,8,512GB SSD,Intel HD,Windows 10,0.97,179065,3840,2160,352.47,1,1,0,512,0,0
147,Asus,Notebook,15.6,Full HD 1920x1080,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.0,30585,1920,1080,141.21,0,0,1,0,0,0
148,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,180398,1920,1080,127.34,0,0,1,256,0,0
149,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.1,39743,1366,768,100.45,0,0,1,0,0,0
150,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.56,111072,1920,1080,141.21,0,0,0,512,0,0
151,Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce,Windows 10,2.62,79930,1920,1080,141.21,0,0,0,0,10,0
152,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,1.9,44277,1366,768,100.45,0,0,0,128,0,0
153,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,168040,1920,1080,127.34,0,0,1,256,0,0
154,HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.48,96201,1920,1080,157.35,0,0,0,256,0,0
155,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5,6,256GB SSD,AMD Radeon,Windows 10,1.91,55035,1920,1080,141.21,0,0,0,256,0,0
156,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Windows 10,1.74,55924,1920,1080,157.35,1,1,0,256,0,0
157,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,116917,1920,1080,165.63,0,1,0,256,0,0
158,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.56,93267,1920,1080,141.21,0,1,0,256,0,0
159,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,39743,1366,768,100.45,0,0,500,0,0,0
160,Asus,Notebook,15.6,1366x768,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.03,35831,1366,768,100.45,0,0,1,0,0,0
161,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,71573,1920,1080,127.34,1,0,0,256,0,0
162,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.13,64726,1920,1080,141.21,0,0,0,256,0,0
163,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,2.5,95934,1920,1080,141.21,1,0,0,256,0,0
164,Acer,Notebook,15.6,1366x768,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,30941,1366,768,100.45,0,0,1,0,0,0
165,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.4,159949,1920,1080,141.21,1,0,1,256,0,0
